Timestamp,Your ID/alias,What do you think happened is video?,What do you think happened in this video?,What do you think happened in this video? ,What do you think happened in this video? ,What do you think happened in this video?,What do you think happened in this video?
11/16/2016 8:38:02,FriskPige8660,"The story is centered around a little and a bigger triangle. At first it seems like they are playing inside a cointainer by forming a hourglass and turning around themselves. Later it becomes apparent that it's the bigger triangles which tries to pull the smaller out of the container, however it is first successful in doing so when it pushes the little triangle instead :)",The little triangle was above the container where it was floating freely from one side to the other side rather randomly - and peacefully. The larger triangle expressed same movement below the cointainer. The movement between the two aren't synchronic.,"Firstly we see the larger triangle strolling at the bottom. Suddently the little triangles enters the picture and starts following the larger triangle. The larger triangle eventually turns around and ask the little triangle something like, ""why this following???"". No answer is given and the little triangle keep following until the larger turn again and asks same question (this pattern is repated a couple of times). In the end the little triangle decides to run away when it's confronted with its obsessive behavior..","The two triangles are floating freely in space without a sense of direction (they aren't pointing towards where they are going). Hopefully, they are listening to some calm music meanwhile.. ","The container is back! This time the larger triangle pushes the smaller into it and guards the entrance to the cointer so that the smaller triangle can't escape. However, stupid as the larger triangle is it gets tricked into entering the container itself, thus making it possible for the smaller triangle to escape. Best part is that the larger triangle doesn't even see where the smaller triangle goes so it's left in confusion, stupid as it is.",The cointer is still there. The two triangles are floating around it with a higher speed than usually. Not much is going on until the both of triangles slow down and stops. Here the story stops.
11/16/2016 8:38:39,the real gandhi,Two triangles rotating around each other like they are dancing. There is a big red one and a little blue one. They are inside a square. The red triangle wants to get out of the square but the blue doesn't follow. The red triangle goes back into the square to chase the blue one out. In the end the red triangle manage to trick the blue triangle out of the square and quickly blocks the way back in. When the blue triangle gives up getting back in the square they are dancing again.,"The blue and the red triangle are outside the square.
The blue in the top of the frame and the red in the bottom. The are bouncing from side to side. 
The speed of their bouncing vary a bit from slow to fast. 
In the end both triangles bounce out of the picture at the same time in the right side of the picture and fade away",The red triangle is walking strolling around. The blue triangle sneaks behind the red triangle and is following it without it noticing. Suddenly the red triangle turns around and the blue triangle immediately stands still like nothing happened and like it never followed the red triangle. This goes on for a while until the red triangle gets mad and scares the blue triangle away,Both triangles are bouncing around in the screen from edge to edge. The triangles turn a bit everytime they hit a edge,The red triangle tricks the blue into the square and blocks the way out. The blue triangle is scared and helpless. Eventually the blue triangle starts to stroke the red triangle with its tip.This works and the red triangle goes into the square to scare the blue triangle so that it will stop. The blue triangle quickly runs out of the square. The red follows bit cannot find the blue and eventually gives up,The triangle are bouncing from side to side. between the edges of the frame and the edges of the square in the middle
11/16/2016 8:38:55,Hastolak,"The Mother triangle and the child triangle was happy in the house and then the mother wanted the child to go outside, but the child didn't want to! then the mother hat to force the child outside and block the entrance. In the end they where happy outside ",two triangles where bouncing of the sides rotating a bit sometimes. the blue small triangel was in the top and the red triangle was on the bottom. in the middle was i square with a hole. the triangles never went to the other side of the square. in the end they moved out of the frame of the video.,The red triangle was moving around the space. the blue triangle came from outside the picture and followed behind the red triangle. a couple of times the red triangle turned around but then the blue also turned as if it wasn't followed. in the end the red turned and cought the blue in the act and got angry or something. then the blue went away.,the two triangles randomly bouncing off walls in a square space. ,The mother triangle put the child triangle inside and blocked the entrance because it had been behaving badly. Then the child was trying to get out but in the end it cuddled with the mother and made her come inside. in the end the child ran out and away,the triangles where randomly bouncing off the walls of the previous scenary
11/16/2016 8:39:23,TheBigFundamental8210,"The two triangles didn't know if they were good for each other. The big red one wanted the little one to go with it out of the house and into the world, but the little one was confused but in the end finally they ran away together in love","This was very weird. At first i was thinking that the two triangles couldn't find each other, but then i started thinking that they weren't actually trying two. It started to seem like they tried to avoid one another. Or they were simple lost - As if i could see their little world but they could not. ",The big red triangle was taking a walk and the little one decided to play a game and started following the big one. But every time the big one turned to look what was behind it the little one pretended it was doing something completely else. When the big one discovered what was going on it got mad and started shouting which made the little one scared and ran away.,The two triangles were floating around without paying attention to each other. This video was weird. As if there was no connection between the two,In this video they had an argument. The big one wanted the little one to stay inside and sort of blocked the door to keep the little one from going out. At one point the big one left the door to make things well with the little one and the little one ran away leaving the big one sad and confused.,This video was weird and absurd. It almost seemed like the lost whatever life they had before and just started floating arguing again. 
11/16/2016 8:40:20,SnowLion,"In the video there was two triangles, one big and red and another smaller and blue. It seemed like in the video that they performed some kind of weird dance or maybe a fight. It could have been that when they span around each other, they were nose to nose and tried to spin one of them out of the ""box"" that they were in. First the red triangle left the box, but came back and was attacked by the blue triangle. The blue triangle was later pushed out after a dance, and the red triangle blocked the entrance to the box. It ended up with the triangles fighting outside the box.","The two same triangles from the last video are in this one as well. However they seemed to have lost their freedom of movement and they are just spinning and every time they hit a wall, they bounce back. It seems like the goal could still be to get into to the box, but in the end they speed up and exit the screen","This movie seems much more like a stop motion video. In the start only the red triangle is on the screen, and then the blue enters. It shakes, like it is angry and then follows the red triangle. The red triangle appears to be unable to see the blue triangle, even when it turns around, making it seem like its eyes are placed in that corner of the triangle. The red triangle goes to fast and hits the red triangle, which seems to make the red triangle angry and now it sees the blue triangle. Hereafter the blue triangle flees.","In this video the two triangles again just float around with no free will. They bounce of the wall, every time they hit one. However the bouncing does not comply with the laws of physics. It seems to take place a little randomly. More than once the triangles are about to hit each other, but they never do.","In this video the triangles seem to be fighting about who should be inside the box. At first they are outside, but the red triangle pushed the blue into the box, and covers the entrance so that it cannot flee. The blue triangle does not have the mass and strength to build up enough force to make the red triangle budge and gets really frustrated. However, the blue triangle comes up with a good idea and tickles the red triangle, until it moves. They then fight a little inside the box and the blue triangle flees all the way out of the screen. The red triangle goes out and looks for it and seems to become frustrated/start shaking, when the blue triangle is nowhere to be seen.",In this video the triangles just floats around together. In the middle there is an open box. The floating seem random and there is no conscious activity/planned movement going on. In the end of the video they slow down a little.
11/16/2016 8:44:11,AK,"A small black triangle and a big red one were in some kind of room (square), the red seemed to try encourage a small triangle to go out of the safe room to investigate surroundings, what in the end of the video succeeded.  During the video triangles touch each other and play around, just as if they were a mom and a child.","The same triangles as in the first video represented objects hitting the walls of the space in video, and thus didn't seem alive and didn't have any kind of relationship. Triangles moved in the similar way, but in different parts of the space with a little delay.","A small triangle chases the bigger one, while the big triangle doesn't see that. The big triangle doesn't want the small one to follow it and is a bit suspecious about the small triangle. Once the small triangle touches the big one, the small one is ""running"" away and a big one seems to anxiously follow it.","Triangles moved randomly in the space hitting the walls. Again, no relationship between triangle, no human/animal-like behavior.",The big triangle doesn't want to let the small one out. The small triangle tries hard and in the end of the video escapes from the small safe room. The big one seems to lose the small one from the vision field and looks around tring to find it.,"The same space, as in the previous video. Triangles are randomly moving objects. No human/animal-like behavior."
11/16/2016 8:44:12,DonaldJump,"The smaller triangle wanted to keep the bigger triangle inside the square. Since the bigger triangle wanted to get out, they struggled a bit. Eventually, the bigger triangle forced the smaller one out and blocked the entrance. Out of the square they struggled a bit further.","The triangles both bounced from one side to the other. The smaller triangle was above the square and the bigger triangle was under the square. They did not move towards anything, but simply change direction according to their ""bump"" one the side. Neither of the triangles seemed to have any intended action like in the first video.","The bigger triangle enters the screen from the left. It appears to be doing some sort of rhythmic movement, like a dance. The smaller triangle then enters from the bottom of the screen and quickly notices the bigger triangle. It rushes up behind it and starts imitating the rhythmic movement. They move around the screen and when the bigger triangle looks back at the smaller triangle, it looks away as if it did not do anything (assumed the pointy end of the triangle is equivalent to the face). Finally, the bigger triangle discovered the smaller triangle. Then the smaller triangle rushed away after what appeared to be some sort of interaction. ",The triangles bounced around in the screen. They both did not seem to have any intention with their action. There was no square in the middle of the screen and both triangles were fully allowed to move around as they were able to. ,"The bigger triangle caught the smaller one inside the square in the middle of the screen. It blocked the way out, which made the smaller triangle attack the bigger one. After a few hits it switched strategy and seemed to have a more gentle approach to the bigger triangle. Eventually the bigger triangle got inside the square itself, as it seemed that the smaller triangle was crying in the corner. Afterwards, the smaller triangle rushed outside of the square and left the bigger one tricked and confused. ","Both triangles are bouncing around the screen. In this video, there was a square in the middle of the screen, which they also were able to bounce on and from. Neither triangle seemed to have any intentions with their behaviour. Even though they were often close, they did not bump into each other. "
11/16/2016 8:46:00,oma,The red and the blue triangle start in the square. they move around each other and then attach themselves to each other and circle around. they detach and the red triangle move outside the square. it then pushes the blue triangle out of the square and block the entrance. then they attach again outside the square and circle around.  ,The two triangles are inside a large square. they bounce back and forth between the left and the right sides. the blue in the upper half and the red in the lower half.,"The red triangle enters the square from the left side then move around the square. the blue triangle enter from the lower side and then begins to follows the red triangle around. every now and then the red triangle turns to see if the blue triangle follows it - but the blue one just ""looks"" away. 
at one point the blue triangle hits the red one, and the red one turns and yells at it. after that, they both leave the square. ",the squares bounces from side to side all around the square - without hitting each other.,"the red triangle threw the blue one in the square and blocks the exit, so it cannot come out. the blue one then lures the red triangle inside the square and then escapes. ",both triangles bounce from both the sides of the large square and the small square in the middle.
11/16/2016 8:46:20,p230,Two triangles in a box with one opening. A big red one and a small blue one. At one point they are joined and starts spinning. Later the big triangle pushes the small one out of the box and blocks the entrance. It then joins the small one and they start spinning again.,The blue triangle is now to the back of the box and the red one is in front of it. They move back and forth horizontally never leaving their own path. Every time they hit the side they go back and rotate on their own axis one move at a time. The red one rotates clockwise and the blue one anti clockwise,The box is now gone and the red triangle moves along the sides. When it gets to the corner the blue one gets in the picture and follows the red one. Two corners ahead they spin 180 degrees but spin back again and continue in the same direction. They do this one more time and in the end the blue triangle goes out to the left,The two triangles move independently. Whenever they hit the side they bounces back in an angle responding to the angle they hit the side with and then they continue moving. In the end instead of bouncing back they keep moving and disappear from the picture,"The red triangle pushes the blue one into the box which is now back. The blue one tries to get out but the red is blocking the way. The red one pushes the blue further into the box but the blue gets past it, goes out the box and disappears from the picture. The red one goes out as well and starts spinning.",Again the triangles move independently and bounces back when they hit the wall. Now the box is there and they also bounce back when hitting this. They never touch each other and they never get into the box. In the end they slow down a little bit. 
11/16/2016 8:46:27,Lasagne,Two triangles were inside of a square. First they circled around each other and then they hold themselves with one corner and were rotating in circles. Afterwards the small one forced the big one out of the square but he came back so the small one wanted to get out but the big one hold him but he managed to escape. In the end they both met outside and performed again the dance with holding each other with one corner.,There is a square in the middle and above it is a small triangle flying from wall to wall and bouncing from them. Most of the time he just let himselv bounce from the wall randomly but sometimes he corrects his direction with a small rotation. Under the square is a bigger triangle that is doing the same as the smaller one but he does not try to control his direction. At the beginning it seems that the smaller triangle is trying to mimic the trajectory of the bigger one but towards the end he gives up and is flying randomly.,First there appears a big triangle that is pulsing and flying. Then a smaller triangle appears and begins to chase the big one. After a moment the big triangle finds out that he is being chased and turns to the small triangle and seems to be angry about him. Then he turns back and flies again and also the small triangle starts to follow him again. Soon the big one again turns to the small one and it seems to me that he really does not want to be followed. Then he flies into the opposite corner and they appear to be fighting. The small triangle wins and flies away while the big one stays on the place and is just pulsing.,There were two triangles: big and small. And both of them just bounced from the walls in apparently random pattern. Often it seemed that they have to collide but it never happened eventhough it was really close miss. In the end both triangles just flew out of the sight.,First the big triangle is forcing a small triangle into the square but apparently the small one does not want to go there. But he loses the fight and is imprisoned inside and the big triangle is guarding the entrance. The small triangle is trying to escape but the entrance is fully blocked by the guardian. So he goes to the corner is thinks about what to do next. He comes to the guardian and tickles him and lurks him to go inside the square. When the guardian is inside the small triangle escapes. The video ends with big triangle outside the square where he is looking around where could the prisoner escape and seems to be confused about it.,"There are two triangles: red and blue. They are bouncing from the walls and from the square which is located in the center. They are bouncing around the whole scene and a couple of times they almost crash into each other but this never happens. Also sometimes it looks like one of the triangles will end up inside of the square but they always miss the entrance really closely. Most of the time they seem to be bouncing naturally but then once the blue triangle instead of bouncing straight back, as he should according the laws of physics he bounces to the side so it seems that the triangles can control their movement."
11/16/2016 8:48:12,Agnete,"The big red triangle and the small black triangle were together inside the square playing. The big triangle went outside without the small one. When the small triangle didn't follow it went back inside to try and get the small triangle, but couldn't get it to follow. It then went back inside to persuade the small triangle to follow. The small triangle was pushed outside by the big triangle. They stayed outside together and started playing.",The small triangle is moving from side to side above the square while the big triangle is doing the same below the square. They are following each others movements.,The big red triangle it moving around alongside the space. The small black triangle is following it. When the big triangle turns around the small triangle stops and stands still as if it wasn't following the big triangle. When the big triangle turns around for the third time it sees the small triangle following it. It seems to be protesting and the small triangle leaves the space.,The big red triangle is moving back and forward alongside the diagonal of the space. The small black triangle is moving from one side to another. When it reaches one of the sides it chances direction.,"The big red triangle pushed the small black triangle inside the square. The small triangle is now inside the square and cannot get out because the big triangle is blocking the opening. The small triangle pulls the big triangle inside the square, thus being able to get around it and get out. The big triangle follows the small triangle outside as it escapes, but the small triangle is already gone.",The big and the small triangle are moving around between the sides of the space and the squares in the middle. When they reach the side they chance direction until they get to the side of the square where they chance direction again. They move around in different directions passing by each other.
11/16/2016 8:48:44,hello,The big red triangle wanted to get the little black triangle out of some kind of room. In the end it succeeded.,"The two triangles was jumping between two walls of a room in parallel, but outside the previous room. At the end of the video, they crossed the right wall of the box.","The big red triangle was going around in a room. Then the little black triangle appeared and started to follow the big red one. The big triangle turned around three times, the third time it sent the little triangle away. The little triangle went away, offended.","The two triangles were jumping between the four walls of a room, but not in parallel. Once they reached a wall, they bounced back from it. In the end, they crossed two opposite walls.","The big red triangle pushed the little black one inside the same room they were at the beginning. The little triangle tried to get out, but the big one did not allow it. Then the little triangle managed the get the big one inside the box, and then managed to escape the room. Then the big one went out, looking for the little one, but couldn't find it.","The little and the big triangle were jumping between the walls of the first room and the walls of the second, bigger room surrounding the smaller one."
11/16/2016 8:49:03,S,"To triangles move up and down and spins together (have a good time). The big triangle leaves the square (safe place), the small triangle shakes (nerveus). The big triangles helps the small triangle to get out of the square as well. The small triangle moves around outside (explore the unknown). They spin together in the end (have fun). ",The triangles move right and left. They bump into the walls (are constricted). At the end they move through the right side wall. ,"The triangles moved around, the big in front the small behind. When the small bump into the big, the big turns around suddenly (angry?). At the end the small run of through the left wall.",The triangles move around in the entire space.... Don't know,"The big triangle move the small into the box. The small one tries to get out, but the big one blogs the way. The small triangle stroke the big one (giggles?) - the are tip to tip (happy?). The small one disappears. The big one is confused - searches for it.",The triangles bump about in the space. ...
11/16/2016 8:50:23,Chestnut,"Parent (the big triangle) plays with the child (small triangle) inside the house. Then the parent goes out and wants the child to follow him. However, the child seems to be afraid of the outside world and does not want to come along. The parent eventually pushes the child outside, and after taking a look, the child discovers that it's not that bad after all. They play (dance) again.","We can say that it's the parent (big triangle) with the child (small triangle) again. They are playing outside, running from one side to another and competing to find out who is faster. ","The adult is walking (or jumping) around. Then comes the child and starts to follow and to imitate the adult. When the adult turns around, the child pretends that nothing is happening. At the end, the adult finally catches the child, and the child runs away. ","This is similar to video 2, where it was also harder to see any story behind it. It's just two triangles bouncing from the sides.","The parent pushes the child back to the house - maybe it's too late and time to go home. The child however doesn't want to go home yet and tries to sneak out, while the parent is blocking the door. The child tries another strategy and calls the parent or pretends to be scared - just something to get attention. The parent runs to the child, who then quickly runs out of the house. The parent realizes that, runs out too and looks for the child. The parent looks startled. ","The triangles are bouncing around, there's no story."
11/16/2016 8:51:20,Hyps,"The small triangle wants to stay in the circle, but the bigger one pushes it out.  ","The two triangles bounces back and forth from one end of the big square to the other. The small triangle bounces about up in the top half, the big one in the lower half.","The big triangle is moving about, like it was walking in a bumpy kind of way. The small triangle gets excited and jumps in behind the big one, and copies the way it walks. The big one stops and looks back, but the small one stops and pretends it wasn't doing anything. This happens few more times, eventually the big triangle stops and yells at the small one, making the small one run off in a huff.","The two triangles bounce about in a big square. Each time they hit a wall, they bounce back into a new direction. They never hit each other.","The big triangle traps the small one in a box. The little triangle tries to escape, by pushing the big one out of its way. This does nothing. It then tickles the big one, distracting the big one from its purpose. The little one goes and sits in a corner, which sends the big one to investigate (I mean, it could all seem a bit rapey, and the big one goes to have fun times with the small one, but let's pretend that's not the case!) - it investigates, the little one then runs away and out of the prison.","The two triangles bounce about in the big square, around the little house square."
11/16/2016 8:51:39,chocolate,"The triangles reminded me of birds, the big triangle tried to convince the little one to go out, but the little one  didn't want to, like little birds don't want to leave their nest for the first time in their lives. When the little one finally went out, they were ""flying"" together happily.","The two triangles were hitting the sides of the square from the inside, it seemed like they maybe wanted to get in the rectangle in the middle, but they could not hit the sides of the square in the right angle, so they could not get in through the little door on the rectangle. (They could only move in the direction the collision sent them, like balls thrown to the wall.)The big triangle finally decided to stop trying and left the square.","The red triangle walked in peace when suddenly a blue triangle appeared and started to follow it. The blue triangle didn't want to be noticed while following the red one, but the red one noticed it. When this occurred, the blue one acted like it was just walking around and it was by chance that it was behind the red one. Then the red one finally turned so suddenly that the blue had no time to disguise that it was following the red one. The red one got angry, and shouted to the blue one to go away. The blue one ran away.","The blue and the red triangle were only able to move with the force and angle that the collision to the wall gave them. They were like two people trying to find each other but always kept away because of the events that happened in their life. They were not able to find each other and when they got tried of trying, they gave up.","The big triangle captured the little one in a house, the little one tried to get out, but could not escape, until it tricked the big one with showing it something in one of the corners of the house. The little one managed to escape and when the big one realized that it was tricked, it was too late, the little one already had vanished. ",The triangles were hitting the inside walls of the square and the outside walls of the rectangle in the middle of the square. 
11/16/2016 9:04:39,2409,"There are two triangles, one small and one larger, inside a square. These are possibly representing a parent and a child. The square has a gap, so it is possible to get in and out. It looks as if the little one is frightened to go out of the square. The larger one tries to get the little one out, by leaving the square, even though the little one is trying to hold on to it. By going outside the square the larger triangle is showing that it isn't dangerous. At last it pushes the little one out, and blocks the gap so the little one can't get back in. And then they're either arguing or dancing... ","By their movements there seems to be no gravity, just bouncing from one end to another. It looks as if they're enjoying being outside the 'square' as they were in the first video. Perhaps they are playing.","First, the larger triangle is jumping. Then the little one joins in. When the larger one turns around looking, the little one turns away, as if there is nothing going on. The little one keeps imitating the larger one, and at one point hits the larger one. The larger triangle turns around and starts moving the 'pointy end' from left to right, as if it's saying 'no!'. Once again the little one imitates, moving from left to right, and then leaves. ",The triangles are moving around from one end to another. They're only once in contact. They move both backwards and forwards. I don't see a pattern. ,The larger triangle pushes the little one in to the square again. The small one gets angry and tries to push his way back out. The larger one blocks the gap and the small one tries another strategy. It looks as if it tickles the larger one.,The triangles move around the square in floating movements. They are not in contact. 
